Fid,lat,lon,street,region,traffic_date_time,junction_no,vechile_type,no_of_vehicles,Label
10.42.0.211-10.42.0.1-20786-53-17,40.87163302,-73.83043283,alcott place,Bronx,2022-08-22T12:34:42.298Z,2,Car,14,1
209.85.144.188-10.42.0.151-5228-47278-6,40.89514909,-73.91086579,alderbrook road,Bronx,2022-08-22T12:20:37.242Z,2,Car,13,0
192.229.173.173-10.42.0.211-80-49256-6,40.82315248,-73.89042184,aldus street,Bronx,2022-08-22T12:04:30.630Z,1,Taxi,20,1
10.42.0.151-101.69.121.110-58259-80-6,40.80684766,-73.92749288,alexander avenue,Bronx,2022-08-22T12:03:32.715Z,1,Car,22,0
173.194.207.139-10.42.0.211-443-49729-6,40.84545743,-73.92799455,alexander hamilton bridge,Bronx,2022-08-22T12:01:37.768Z,1,Car,26,0
180.76.148.65-10.42.0.42-80-50867-6,40.84531689,-73.92807647,alexander hamilton bridge,Bronx,2022-08-22T11:54:05.877Z,1,Car,26,1
209.85.232.188-10.42.0.151-5228-35020-6,40.84520532,-73.92704128,alexander hamilton bridge appr,Bronx,2022-08-22T11:45:55.591Z,1,Bus,21,1
180.149.136.194-10.42.0.151-443-46511-6,40.84510386,-73.92709369,alexander hamilton bridge appr,Bronx,2022-08-22T11:42:38.810Z,2,Truck,23,0
151.101.1.134-10.42.0.211-443-53240-6,40.84499241,-73.92665239,alexander hamilton bridge appr,Bronx,2022-08-22T11:37:55.910Z,2,School Bus,23,1
10.42.0.211-23.194.140.226-48052-80-6,40.84509557,-73.92658772,alexander hamilton bridge appr,Bronx,2022-08-22T11:37:20.083Z,1,Goods vehicle,19,0
172.217.10.78-10.42.0.211-443-39104-6,40.86537005,-73.87039587,allerton avenue,Bronx,2022-08-22T11:33:09.990Z,1,Pedal cycle,19,1
10.42.0.211-23.194.140.128-42250-443-6,40.86531703,-73.84860095,allerton avenue,Bronx,2022-08-22T11:09:34.909Z,1,Car,20,0
10.42.0.42-111.206.25.159-46241-80-6,40.86502701,-73.83650333,allerton avenue,Bronx,2022-08-22T11:02:09.550Z,2,Goods vehicle ,24,1
220.243.219.55-10.42.0.211-80-58495-6,40.86530568,-73.85089449,allerton avenue,Bronx,2022-08-22T10:56:35.530Z,2,Car,18,0
172.217.12.174-10.42.0.42-443-44753-6,40.86538322,-73.8494965,allerton avenue,Bronx,2022-08-22T10:55:19.450Z,1,Bus,19,0
10.42.0.151-10.42.0.1-33842-53-17,40.86540441,-73.850894,allerton avenue,Bronx,2022-08-22T10:54:24.518Z,1,Motorcycle ,16,0
203.205.179.172-10.42.0.211-80-40199-6,40.8654437,-73.84984899,allerton avenue,Bronx,2022-08-22T10:53:40.710Z,1,Car,17,0
10.42.0.211-77.234.42.92-44566-443-6,40.91151718,-73.90766149,alumnae circle,Bronx,2022-08-22T10:52:18.860Z,1,Car,16,0
10.42.0.151-52.179.189.71-58739-443-6,40.84831025,-73.86800794,amethyst street,Bronx,2022-08-22T10:49:46.400Z,1,Car,16,1
172.217.12.194-10.42.0.211-443-45536-6,40.84660717,-73.86838697,amethyst street,Bronx,2022-08-22T10:45:20.130Z,1,Car,10,1
10.42.0.211-10.42.0.1-38628-53-17,40.8463631,-73.82398763,ampere avenue,Bronx,2022-08-22T10:43:41.688Z,1,Goods vehicle,9,0
10.42.0.211-23.205.16.85-52446-80-6,40.8891418,-73.83554994,amundson avenue,Bronx,2022-08-22T10:33:55.260Z,1,Pedal cycle,8,0
10.42.0.42-54.239.17.112-52579-443-6,40.88724319,-73.83480914,amundson avenue,Bronx,2022-08-22T10:33:52.760Z,2,Car,7,0
10.42.0.211-76.13.28.196-47156-443-6,40.8310051,-73.92810967,anderson avenue,Bronx,2022-08-22T10:33:41.230Z,2,Goods vehicle ,9,1
172.217.12.174-10.42.0.151-443-36290-6,40.86004865,-73.90861023,andrews avenue north,Bronx,2022-08-22T10:33:30.760Z,2,Car,8,1
172.217.12.174-10.42.0.151-443-34794-6,40.8484308,-73.91924286,andrews avenue south,Bronx,2022-08-22T10:09:09.120Z,2,Bus,12,1
10.42.0.42-106.11.92.16-34864-443-6,40.81270476,-73.82383577,angelas place,Bronx,2022-08-22T10:02:57.160Z,2,Motorcycle ,13,1
10.42.0.211-10.42.0.1-54712-53-17,40.84329048,-73.90462588,anthony avenue,Bronx,2022-08-22T09:55:16.800Z,2,Car,17,1
203.205.128.137-10.42.0.151-80-32945-6,40.84584209,-73.90387408,anthony avenue,Bronx,2022-08-22T09:42:13.905Z,2,Car,14,0
172.217.12.130-10.42.0.151-443-33470-6,40.85072315,-73.86590175,antin place,Bronx,2022-08-22T09:37:11.330Z,2,Car,14,1
10.42.0.151-72.30.196.161-58384-443-6,40.85608982,-73.90968728,aqueduct avenue east,Bronx,2022-08-22T09:28:59.000Z,2,Car,14,0
10.42.0.211-10.42.0.1-35051-53-17,40.86488185,-73.90252412,aqueduct avenue west,Bronx,2022-08-22T09:28:57.340Z,2,Taxi,14,0
10.42.0.211-104.88.89.135-38024-443-6,40.83759495,-73.86638641,archer street,Bronx,2022-08-22T09:24:39.071Z,2,Car,11,0
192.229.173.173-10.42.0.211-80-48078-6,40.89355395,-73.91002262,arlington avenue,Bronx,2022-08-22T09:21:25.490Z,2,Car,15,1
10.42.0.211-123.59.190.237-49184-80-6,40.87970242,-73.91582213,arlington avenue,Bronx,2022-08-22T09:18:47.450Z,2,Car,13,0
10.42.0.211-10.42.0.1-33340-53-17,40.89960493,-73.90881367,arlington avenue,Bronx,2022-08-22T09:15:21.220Z,2,Car,12,1
10.42.0.211-23.23.129.231-46077-443-6,40.8965884,-73.90988522,arlington avenue,Bronx,2022-08-22T09:12:32.570Z,2,Car,17,0
10.42.0.211-111.202.114.77-55903-443-6,40.86766754,-73.85469794,arnow avenue,Bronx,2022-08-22T09:10:58.906Z,2,Motorcycle ,18,1
203.205.190.44-10.42.0.211-80-51359-6,40.8679449,-73.86972158,arnow avenue,Bronx,2022-08-22T09:09:01.530Z,2,Lorry,17,0
10.42.0.151-10.42.0.1-49896-53-17,40.86751171,-73.84617581,arnow avenue,Bronx,2022-08-22T08:53:19.960Z,2,Car,16,1
10.42.0.151-31.13.80.8-45902-443-6,40.8675507,-73.84281211,arnow avenue,Bronx,2022-08-22T08:42:49.880Z,2,Bus,15,1
180.76.147.97-10.42.0.151-80-58276-6,40.85024898,-73.82884038,arnow place,Bronx,2022-08-22T08:41:20.370Z,2,Motorcycle ,13,0
10.42.0.211-23.194.111.184-37476-443-6,40.84365465,-73.89484901,arthur avenue,Bronx,2022-08-22T08:40:43.705Z,2,Car,16,1
202.77.129.150-10.42.0.151-443-37899-6,40.84697883,-73.89304124,arthur avenue,Bronx,2022-08-22T08:36:32.661Z,2,Bus,11,0
172.217.11.36-10.42.0.42-443-48987-6,40.85259905,-73.88994104,arthur avenue,Bronx,2022-08-22T08:35:35.445Z,2,Car,8,0
174.35.73.107-10.42.0.211-80-38930-6,40.85183093,-73.89014037,arthur avenue,Bronx,2022-08-22T08:30:33.201Z,2,Goods vehicle ,10,1
10.42.0.151-104.193.88.109-49999-80-6,40.87040443,-73.82588805,asch loop,Bronx,2022-08-22T08:29:00.871Z,2,Car,10,1
10.42.0.211-10.42.0.1-64341-53-17,40.85959085,-73.86652916,astor avenue,Bronx,2022-08-22T07:54:58.127Z,2,Car,10,0
10.42.0.151-66.198.24.253-34594-443-6,40.81027302,-73.90398547,austin place,Bronx,2022-08-22T07:51:56.900Z,2,Car,9,1
203.205.190.40-10.42.0.42-80-52495-6,40.81529846,-73.90261007,avenue st john,Bronx,2022-08-22T07:50:50.370Z,2,Motorcycle,11,0
10.42.0.151-36.110.210.167-50943-80-6,40.88501696,-73.89659753,bailey avenue,Bronx,2022-08-22T07:48:37.746Z,2,Goods vehicle,12,1
172.217.6.225-10.42.0.151-443-55562-6,40.87992063,-73.90089945,bailey avenue,Bronx,2022-08-22T07:46:19.670Z,2,Pedal cycle,18,0
172.217.10.110-10.42.0.151-443-58056-6,40.86573828,-73.9085001,bailey avenue,Bronx,2022-08-22T07:46:17.300Z,1,Car,14,1
10.42.0.211-106.11.92.16-45644-443-6,40.88138839,-73.8993263,bailey place,Bronx,2022-08-22T07:36:18.910Z,2,Goods vehicle ,17,0
10.42.0.211-10.42.0.1-51421-53-17,40.8627193,-73.89313684,bainbridge avenue,Bronx,2022-08-22T07:34:57.600Z,2,Car,14,0
10.42.0.211-10.42.0.1-4319-53-17,40.83542555,-73.82971581,baisley avenue,Bronx,2022-08-22T07:24:13.763Z,2,Bus,14,0
172.217.12.174-10.42.0.151-443-44508-6,40.8308853,-73.8343411,balcom avenue,Bronx,2022-08-22T07:13:17.930Z,2,Car,12,0
10.42.0.211-31.13.71.3-55603-443-6,40.81413071,-73.82165581,balcom avenue,Bronx,2022-08-22T07:11:30.770Z,3,Car,14,0
